R,B,xD,QR,xF,R_over_R_plus_1,R_times_xF,alpha_approx,R_min_approx,R_factor
0.8,1.0,0.946132,-213365.0,0.2,0.4444444444444445,0.16000000000000003,3.992,0.3342245989304813,2.3936
0.8,1.33333,0.946144,-254215.0,0.2,0.4444444444444445,0.16000000000000003,3.992,0.3342245989304813,2.3936
0.8,1.66667,0.946168,-287206.0,0.2,0.4444444444444445,0.16000000000000003,3.992,0.3342245989304813,2.3936
0.8,2.0,0.946205,-314409.0,0.2,0.4444444444444445,0.16000000000000003,3.992,0.3342245989304813,2.3936
0.8,2.33333,0.946256,-337223.0,0.2,0.4444444444444445,0.16000000000000003,3.992,0.3342245989304813,2.3936
0.8,2.66667,0.946317,-356632.0,0.2,0.4444444444444445,0.16000000000000003,3.992,0.3342245989304813,2.3936
0.8,3.0,0.946387,-373344.0,0.2,0.4444444444444445,0.16000000000000003,3.992,0.3342245989304813,2.3936
1.5,1.0,0.942752,-320593.0,0.2,0.6,0.30000000000000004,3.992,0.3342245989304813,4.4879999999999995
1.5,1.33333,0.942769,-390276.0,0.2,0.6,0.30000000000000004,3.992,0.3342245989304813,4.4879999999999995
1.5,1.66667,0.942806,-448807.0,0.2,0.6,0.30000000000000004,3.992,0.3342245989304813,4.4879999999999995
1.5,2.0,0.942867,-498664.0,0.2,0.6,0.30000000000000004,3.992,0.3342245989304813,4.4879999999999995
1.5,2.33333,0.94295,-541642.0,0.2,0.6,0.30000000000000004,3.992,0.3342245989304813,4.4879999999999995
1.5,2.66667,0.943054,-579074.0,0.2,0.6,0.30000000000000004,3.992,0.3342245989304813,4.4879999999999995
1.5,3.0,0.943174,-611968.0,0.2,0.6,0.30000000000000004,3.992,0.3342245989304813,4.4879999999999995
2.2,1.0,0.939461,-392081.0,0.2,0.6875,0.44000000000000006,3.992,0.3342245989304813,6.582400000000001
2.2,1.33333,0.939473,-484324.0,0.2,0.6875,0.44000000000000006,3.992,0.3342245989304813,6.582400000000001
2.2,1.66667,0.939514,-563925.0,0.2,0.6875,0.44000000000000006,3.992,0.3342245989304813,6.582400000000001
2.2,2.0,0.939587,-633318.0,0.2,0.6875,0.44000000000000006,3.992,0.3342245989304813,6.582400000000001
2.2,2.33333,0.939693,-694347.0,0.2,0.6875,0.44000000000000006,3.992,0.3342245989304813,6.582400000000001
2.2,2.66667,0.939828,-748442.0,0.2,0.6875,0.44000000000000006,3.992,0.3342245989304813,6.582400000000001
2.2,3.0,0.939987,-796717.0,0.2,0.6875,0.44000000000000006,3.992,0.3342245989304813,6.582400000000001
2.9,1.0,0.936339,-443147.0,0.2,0.7435897435897436,0.58,3.992,0.3342245989304813,8.6768
2.9,1.33333,0.936335,-553214.0,0.2,0.7435897435897436,0.58,3.992,0.3342245989304813,8.6768
2.9,1.66667,0.936367,-650095.0,0.2,0.7435897435897436,0.58,3.992,0.3342245989304813,8.6768
2.9,2.0,0.93644,-736025.0,0.2,0.7435897435897436,0.58,3.992,0.3342245989304813,8.6768
2.9,2.33333,0.936554,-812762.0,0.2,0.7435897435897436,0.58,3.992,0.3342245989304813,8.6768
2.9,2.66667,0.936707,-881705.0,0.2,0.7435897435897436,0.58,3.992,0.3342245989304813,8.6768
2.9,3.0,0.936892,-943986.0,0.2,0.7435897435897436,0.58,3.992,0.3342245989304813,8.6768
3.6,1.0,0.93344,-481447.0,0.2,0.782608695652174,0.7200000000000001,3.992,0.3342245989304813,10.7712
3.6,1.33333,0.933407,-605849.0,0.2,0.782608695652174,0.7200000000000001,3.992,0.3342245989304813,10.7712
3.6,1.66667,0.933417,-717021.0,0.2,0.782608695652174,0.7200000000000001,3.992,0.3342245989304813,10.7712
3.6,2.0,0.933476,-816948.0,0.2,0.782608695652174,0.7200000000000001,3.992,0.3342245989304813,10.7712
3.6,2.33333,0.933586,-907268.0,0.2,0.782608695652174,0.7200000000000001,3.992,0.3342245989304813,10.7712
3.6,2.66667,0.933742,-989298.0,0.2,0.782608695652174,0.7200000000000001,3.992,0.3342245989304813,10.7712
3.6,3.0,0.93394,-1060000.0,0.2,0.782608695652174,0.7200000000000001,3.992,0.3342245989304813,10.7712
4.3,1.0,0.930783,-511236.0,0.2,0.8113207547169812,0.86,3.992,0.3342245989304813,12.865599999999999
4.3,1.33333,0.930712,-647380.0,0.2,0.8113207547169812,0.86,3.992,0.3342245989304813,12.865599999999999
4.3,1.66667,0.930689,-770490.0,0.2,0.8113207547169812,0.86,3.992,0.3342245989304813,12.865599999999999
4.3,2.0,0.930724,-882353.0,0.2,0.8113207547169812,0.86,3.992,0.3342245989304813,12.865599999999999
4.3,2.33333,0.930817,-984443.0,0.2,0.8113207547169812,0.86,3.992,0.3342245989304813,12.865599999999999
4.3,2.66667,0.930965,-1080000.0,0.2,0.8113207547169812,0.86,3.992,0.3342245989304813,12.865599999999999
4.3,3.0,0.931162,-1160000.0,0.2,0.8113207547169812,0.86,3.992,0.3342245989304813,12.865599999999999
5.0,1.0,0.928371,-535068.0,0.2,0.8333333333333334,1.0,3.992,0.3342245989304813,14.959999999999999
5.0,1.33333,0.928253,-680982.0,0.2,0.8333333333333334,1.0,3.992,0.3342245989304813,14.959999999999999
5.0,1.66667,0.928191,-814195.0,0.2,0.8333333333333334,1.0,3.992,0.3342245989304813,14.959999999999999
5.0,2.0,0.928193,-936317.0,0.2,0.8333333333333334,1.0,3.992,0.3342245989304813,14.959999999999999
5.0,2.33333,0.928259,-1050000.0,0.2,0.8333333333333334,1.0,3.992,0.3342245989304813,14.959999999999999
5.0,2.66667,0.928389,-1150000.0,0.2,0.8333333333333334,1.0,3.992,0.3342245989304813,14.959999999999999
5.0,3.0,0.928574,-1250000.0,0.2,0.8333333333333334,1.0,3.992,0.3342245989304813,14.959999999999999
