DCOL-1 - Condenser_Specification_Value,DCOL-1 - Reboiler_Specification_Value,3 - Molar Fraction (Mixture) / Ethanol (),DCOL-1 - Reboiler Duty (kcal/h)
0.8,1,0.788469,-247231
0.8,1.33333,0.788486,-294585
0.8,1.66667,0.788499,-332828
0.8,2,0.788509,-364359
0.8,2.33333,0.788516,-390800
0.8,2.66667,0.788521,-413289
0.8,3,0.788525,-432649
1.5,1,0.811923,-371320
1.5,1.33333,0.812028,-452037
1.5,1.66667,0.812115,-519834
1.5,2,0.812188,-577577
1.5,2.33333,0.812249,-627349
1.5,2.66667,0.8123,-670691
1.5,3,0.812345,-708771
2.2,1,0.824749,-454125
2.2,1.33333,0.824932,-560966
2.2,1.66667,0.825085,-653163
2.2,2,0.825216,-733531
2.2,2.33333,0.825327,-804207
2.2,2.66667,0.825424,-866842
2.2,3,0.825508,-922734
2.9,1,0.832236,-513307
2.9,1.33333,0.832472,-640804
2.9,1.66667,0.832672,-753019
2.9,2,0.832844,-852543
2.9,2.33333,0.832994,-941418
2.9,2.66667,0.833124,-1.02E+06
2.9,3,0.833238,-1.09E+06
3.6,1,0.837018,-557709
3.6,1.33333,0.83729,-701818
3.6,1.66667,0.837523,-830591
3.6,2,0.837726,-946348
3.6,2.33333,0.837903,-1.05E+06
3.6,2.66667,0.838057,-1.15E+06
3.6,3,0.838195,-1.23E+06
4.3,1,0.840294,-592251
4.3,1.33333,0.840592,-749970
4.3,1.66667,0.84085,-892584
4.3,2,0.841074,-1.02E+06
4.3,2.33333,0.841271,-1.14E+06
4.3,2.66667,0.841445,-1.25E+06
4.3,3,0.841601,-1.35E+06
5,1,0.842662,-619890
5,1.33333,0.842979,-788933
5,1.66667,0.843254,-943269
5,2,0.843495,-1.08E+06
5,2.33333,0.843708,-1.21E+06
5,2.66667,0.843897,-1.34E+06
5,3,0.844065,-1.45E+06
